position,positionText,points,wins,constructorId,season,round
10,10,1,0,ligier,1987,7
11,11,1,0,march,1987,7
12,12,0,0,larrousse,1987,7
13,13,0,0,ags,1987,7
14,14,0,0,osella,1987,7
15,15,0,0,minardi,1987,7
1,1,51,5,tyrrell,1971,8
2,2,32,2,ferrari,1971,8
3,3,21,1,brm,1971,8
4,4,19,0,lotus-ford,1971,8
5,5,18,0,march-ford,1971,8
6,6,8,0,matra,1971,8
7,7,6,0,mclaren,1971,8
8,8,5,0,brabham,1971,8
9,9,5,0,surtees,1971,8
10,10,0,0,march-alfa_romeo,1971,8
11,11,0,0,lotus-pw,1971,8
1,1,30,3,benetton,1994,3
2,2,16,0,ferrari,1994,3
3,3,7,0,williams,1994,3
4,4,7,0,jordan,1994,3
5,5,6,0,sauber,1994,3
6,6,4,0,mclaren,1994,3
7,7,4,0,tyrrell,1994,3
8,8,3,0,footwork,1994,3
9,9,1,0,larrousse,1994,3
10,10,0,0,team_lotus,1994,3
11,11,0,0,minardi,1994,3
12,12,0,0,ligier,1994,3
13,13,0,0,simtek,1994,3
14,14,0,0,pacific,1994,3
1,1,553,14,mercedes,2016,16
2,2,359,2,red_bull,2016,16
3,3,313,0,ferrari,2016,16
4,4,124,0,force_india,2016,16
5,5,121,0,williams,2016,16
6,6,62,0,mclaren,2016,16
7,7,47,0,toro_rosso,2016,16
8,8,28,0,haas,2016,16
9,9,8,0,renault,2016,16
10,10,1,0,manor,2016,16
11,11,0,0,sauber,2016,16
1,1,179,7,renault,2006,16
2,2,178,8,ferrari,2006,16
3,3,101,0,mclaren,2006,16
4,4,73,1,honda,2006,16
5,5,35,0,bmw_sauber,2006,16
6,6,30,0,toyota,2006,16
7,7,16,0,red_bull,2006,16
8,8,11,0,williams,2006,16
9,9,1,0,toro_rosso,2006,16
10,10,0,0,mf1,2006,16
11,11,0,0,super_aguri,2006,16
12,12,0,0,spyker_mf1,2006,16
1,1,168,10,williams,1993,16
2,2,84,5,mclaren,1993,16
3,3,72,1,benetton,1993,16
4,4,28,0,ferrari,1993,16
5,5,23,0,ligier,1993,16
6,6,12,0,team_lotus,1993,16
7,7,12,0,sauber,1993,16
8,8,7,0,minardi,1993,16
9,9,4,0,footwork,1993,16
10,10,3,0,larrousse,1993,16
11,11,3,0,jordan,1993,16
12,12,0,0,lola,1993,16
13,13,0,0,tyrrell,1993,16
1,1,124,7,ferrari,2004,8
2,2,61,1,renault,2004,8
3,3,52,0,bar,2004,8
4,4,36,0,williams,2004,8
5,5,15,0,sauber,2004,8
6,6,12,0,mclaren,2004,8
7,7,5,0,jordan,2004,8
8,8,4,0,toyota,2004,8
9,9,3,0,jaguar,2004,8
10,10,0,0,minardi,2004,8
1,1,135,7,mclaren,2000,13
2,2,117,6,ferrari,2000,13
3,3,30,0,williams,2000,13
4,4,18,0,benetton,2000,13
5,5,13,0,jordan,2000,13
6,6,12,0,bar,2000,13
7,7,6,0,sauber,2000,13
8,8,4,0,arrows,2000,13
9,9,3,0,jaguar,2000,13
10,10,0,0,minardi,2000,13
11,11,0,0,prost,2000,13
1,1,38,4,cooper-climax,1959,8
2,2,32,2,ferrari,1959,8
3,3,18,1,brm,1959,8
4,4,3,0,team_lotus,1959,8
5,5,0,0,aston_martin,1959,8
6,6,0,0,cooper-maserati,1959,8
7,7,0,0,maserati,1959,8
8,8,0,0,cooper-borgward,1959,8
9,9,0,0,porsche,1959,8
10,10,0,0,jbw,1959,8
11,11,0,0,vanwall,1959,8
12,12,0,0,fry,1959,8
1,1,330,6,red_bull,2010,13
2,2,329,5,mclaren,2010,13
3,3,250,2,ferrari,2010,13
4,4,146,0,mercedes,2010,13
5,5,123,0,renault,2010,13
6,6,58,0,force_india,2010,13
7,7,40,0,williams,2010,13
8,8,27,0,sauber,2010,13
9,9,10,0,toro_rosso,2010,13
10,10,0,0,lotus_racing,2010,13
11,11,0,0,hrt,2010,13
12,12,0,0,virgin,2010,13
1,1,89,4,ferrari,1977,16
2,2,62,5,team_lotus,1977,16
3,3,55,3,wolf,1977,16
4,4,51,2,mclaren,1977,16
5,5,27,0,brabham,1977,16
6,6,23,0,tyrrell,1977,16
7,7,20,1,shadow,1977,16
8,8,16,1,ligier,1977,16
9,9,11,0,fittipaldi,1977,16
10,10,10,0,ensign,1977,16
11,11,6,0,surtees,1977,16
12,12,1,0,penske,1977,16
13,13,0,0,march,1977,16
14,14,0,0,hesketh,1977,16
15,15,0,0,lec,1977,16
16,16,0,0,brm,1977,16
17,17,0,0,renault,1977,16
18,18,0,0,boro,1977,16
19,19,0,0,apollon,1977,16
20,20,0,0,mcguire,1977,16
1,1,25,1,williams,1980,5
2,2,23,1,ligier,1980,5
3,3,21,2,renault,1980,5
4,4,18,1,brabham,1980,5
5,5,8,0,arrows,1980,5
6,6,8,0,fittipaldi,1980,5
7,7,6,0,team_lotus,1980,5
8,8,6,0,mclaren,1980,5
9,9,5,0,tyrrell,1980,5
10,10,3,0,ferrari,1980,5
11,11,2,0,alfa,1980,5
12,12,0,0,ats,1980,5
13,13,0,0,ensign,1980,5
14,14,0,0,shadow,1980,5
15,15,0,0,osella,1980,5
1,1,56,4,mclaren,1989,6
2,2,31,1,williams,1989,6
3,3,13,0,benetton,1989,6
4,4,9,1,ferrari,1989,6
5,5,8,0,dallara,1989,6
6,6,8,0,arrows,1989,6
7,7,7,0,tyrrell,1989,6
8,8,5,0,brabham,1989,6
9,9,4,0,march,1989,6
10,10,3,0,team_lotus,1989,6
11,11,3,0,rial,1989,6
12,12,2,0,ligier,1989,6
13,13,1,0,ags,1989,6
14,14,0,0,osella,1989,6
15,15,0,0,larrousse,1989,6
16,16,0,0,coloni,1989,6
17,17,0,0,onyx,1989,6
18,18,0,0,minardi,1989,6
19,19,0,0,zakspeed,1989,6
20,20,0,0,eurobrun,1989,6
1,1,10,1,williams,1993,1
2,2,6,0,mclaren,1993,1
3,3,4,0,ligier,1993,1
4,4,3,0,minardi,1993,1
5,5,2,0,sauber,1993,1
6,6,1,0,ferrari,1993,1
7,7,0,0,footwork,1993,1
1,1,110,8,benetton,1995,13
2,2,94,4,williams,1995,13
3,3,62,1,ferrari,1995,13
4,4,21,0,mclaren,1995,13
5,5,18,0,sauber,1995,13
6,6,16,0,ligier,1995,13
7,7,14,0,jordan,1995,13
8,8,2,0,tyrrell,1995,13
9,9,1,0,footwork,1995,13
10,10,0,0,minardi,1995,13
11,11,0,0,pacific,1995,13
12,12,0,0,forti,1995,13
13,13,0,0,simtek,1995,13
1,1,83,6,mclaren,1985,13
2,2,77,2,ferrari,1985,13
3,3,63,3,team_lotus,1985,13
4,4,34,1,williams,1985,13
5,5,26,1,brabham,1985,13
6,6,16,0,renault,1985,13
7,7,13,0,ligier,1985,13
8,8,9,0,arrows,1985,13
9,9,4,0,tyrrell,1985,13
10,10,0,0,alfa,1985,13
11,11,0,0,osella,1985,13
12,12,0,0,ram,1985,13
13,13,0,0,minardi,1985,13
14,14,0,0,zakspeed,1985,13
15,15,0,0,toleman,1985,13
16,16,0,0,spirit,1985,13
17,17,0,0,lola,1985,13
1,1,326,8,mercedes,2014,9
2,2,168,1,red_bull,2014,9
3,3,106,0,ferrari,2014,9
4,4,103,0,williams,2014,9
5,5,91,0,force_india,2014,9
6,6,90,0,mclaren,2014,9
7,7,15,0,toro_rosso,2014,9
8,8,8,0,lotus_f1,2014,9
9,9,2,0,marussia,2014,9
10,10,0,0,sauber,2014,9
11,11,0,0,caterham,2014,9
1,1,204,9,ferrari,2007,17
2,2,101,0,bmw_sauber,2007,17
3,3,51,0,renault,2007,17
4,4,33,0,williams,2007,17
5,5,24,0,red_bull,2007,17
6,6,13,0,toyota,2007,17
7,7,8,0,toro_rosso,2007,17
8,8,6,0,honda,2007,17
9,9,4,0,super_aguri,2007,17
10,10,1,0,spyker,2007,17
11,E,118,8,mclaren,2007,17
1,1,575,11,mercedes,2017,17
2,2,428,4,ferrari,2017,17
3,3,315,2,red_bull,2017,17
4,4,159,0,force_india,2017,17
5,5,68,0,williams,2017,17
6,6,53,0,toro_rosso,2017,17
7,7,48,0,renault,2017,17
8,8,43,0,haas,2017,17
9,9,23,0,mclaren,2017,17
10,10,5,0,sauber,2017,17
1,1,24,2,mclaren,1984,2
2,2,6,0,williams,1984,2
3,3,6,0,renault,1984,2
4,4,6,0,alfa,1984,2
5,5,4,0,team_lotus,1984,2
6,6,2,0,ligier,1984,2
7,7,1,0,arrows,1984,2
8,8,1,0,toleman,1984,2
9,9,0,0,ram,1984,2
10,10,0,0,spirit,1984,2
11,11,0,0,ferrari,1984,2
12,12,0,0,tyrrell,1984,2
13,13,0,0,brabham,1984,2
14,14,0,0,ats,1984,2
15,15,0,0,osella,1984,2
1,1,41,1,ferrari,1997,6
2,2,40,4,williams,1997,6
3,3,21,1,mclaren,1997,6
4,4,17,0,benetton,1997,6
5,5,15,0,prost,1997,6
6,6,8,0,jordan,1997,6
7,7,6,0,stewart,1997,6
8,8,6,0,sauber,1997,6
9,9,2,0,tyrrell,1997,6
10,10,0,0,minardi,1997,6
11,11,0,0,arrows,1997,6
12,12,0,0,lola,1997,6
1,1,59,6,team_lotus,1970,12
2,2,46,3,ferrari,1970,12
3,3,45,1,march,1970,12
4,4,35,1,brabham,1970,12
5,5,31,0,mclaren-ford,1970,12
6,6,22,1,brm,1970,12
7,7,21,0,matra,1970,12
8,8,3,0,surtees,1970,12
9,9,0,0,mclaren-alfa_romeo,1970,12
10,10,0,0,tomaso,1970,12
11,11,0,0,tyrrell,1970,12
12,12,0,0,bellasi,1970,12
1,1,393,9,mercedes,2014,11
2,2,219,2,red_bull,2014,11
3,3,142,0,ferrari,2014,11
4,4,135,0,williams,2014,11
5,5,98,0,force_india,2014,11
6,6,97,0,mclaren,2014,11
7,7,17,0,toro_rosso,2014,11
8,8,8,0,lotus_f1,2014,11
9,9,2,0,marussia,2014,11
10,10,0,0,sauber,2014,11
11,11,0,0,caterham,2014,11
1,1,247,3,ferrari,2018,9
2,2,237,3,mercedes,2018,9
3,3,189,3,red_bull,2018,9
4,4,62,0,renault,2018,9
5,5,49,0,haas,2018,9
6,6,44,0,mclaren,2018,9
7,7,42,0,force_india,2018,9
8,8,19,0,toro_rosso,2018,9
9,9,16,0,sauber,2018,9
10,10,4,0,williams,2018,9
1,1,174,10,ferrari,2004,11
2,2,79,1,renault,2004,11
3,3,67,0,bar,2004,11
4,4,41,0,williams,2004,11
5,5,32,0,mclaren,2004,11
6,6,18,0,sauber,2004,11
7,7,8,0,toyota,2004,11
8,8,5,0,jordan,2004,11
9,9,4,0,jaguar,2004,11
10,10,1,0,minardi,2004,11
1,1,83,6,team_lotus,1973,14
2,2,82,5,tyrrell,1973,14
3,3,55,3,mclaren,1973,14
4,4,18,0,brabham,1973,14
5,5,12,0,ferrari,1973,14
6,6,12,0,brm,1973,14
7,7,9,0,shadow,1973,14
8,8,8,0,march,1973,14
9,9,7,0,surtees,1973,14
10,10,2,0,iso_marlboro,1973,14
11,11,1,0,tecno,1973,14
12,12,0,0,ensign,1973,14
1,1,74,5,williams,1992,5
2,2,20,0,benetton,1992,5
3,3,16,0,mclaren,1992,5
4,4,9,0,ferrari,1992,5
5,5,5,0,footwork,1992,5
6,6,2,0,tyrrell,1992,5
7,7,2,0,team_lotus,1992,5
8,8,2,0,dallara,1992,5
9,9,0,0,ligier,1992,5
10,10,0,0,jordan,1992,5
11,11,0,0,minardi,1992,5
12,12,0,0,march,1992,5
13,13,0,0,larrousse,1992,5
14,14,0,0,brabham,1992,5
1,1,72,3,williams,1981,11
2,2,47,3,brabham,1981,11
3,3,34,1,ligier,1981,11
4,4,30,1,renault,1981,11
5,5,28,2,ferrari,1981,11
6,6,22,1,mclaren,1981,11
7,7,13,0,team_lotus,1981,11
8,8,10,0,arrows,1981,11
9,9,10,0,tyrrell,1981,11
10,10,4,0,ensign,1981,11
11,11,3,0,alfa,1981,11
12,12,1,0,theodore,1981,11
13,13,1,0,ats,1981,11
14,14,0,0,fittipaldi,1981,11
15,15,0,0,march,1981,11
16,16,0,0,osella,1981,11
17,17,0,0,toleman,1981,11
1,1,24,2,mclaren,1988,2
2,2,10,0,ferrari,1988,2
3,3,9,0,team_lotus,1988,2
4,4,4,0,benetton,1988,2
5,5,3,0,arrows,1988,2
6,6,0,0,ligier,1988,2
7,7,0,0,ags,1988,2
8,8,0,0,minardi,1988,2
9,9,0,0,larrousse,1988,2
10,10,0,0,williams,1988,2
11,11,0,0,tyrrell,1988,2
12,12,0,0,march,1988,2
13,13,0,0,rial,1988,2
14,14,0,0,coloni,1988,2
15,15,0,0,eurobrun,1988,2
16,16,0,0,dallara,1988,2
17,17,0,0,zakspeed,1988,2
18,18,0,0,osella,1988,2
1,1,99,6,mclaren,1991,11
2,2,83,4,williams,1991,11
3,3,35,0,ferrari,1991,11
4,4,30,1,benetton,1991,11
5,5,13,0,jordan,1991,11
6,6,11,0,tyrrell,1991,11
7,7,5,0,dallara,1991,11
8,8,3,0,minardi,1991,11
9,9,3,0,team_lotus,1991,11
10,10,1,0,leyton,1991,11
11,11,1,0,brabham,1991,11
12,12,1,0,lola,1991,11
13,13,1,0,larrousse,1991,11
14,14,0,0,ligier,1991,11
15,15,0,0,lambo,1991,11
16,16,0,0,ags,1991,11
17,17,0,0,fondmetal,1991,11
18,18,0,0,footwork,1991,11
19,19,0,0,coloni,1991,11
1,1,15,1,williams,1981,1
2,2,4,0,brabham,1981,1
3,3,3,0,alfa,1981,1
4,4,2,0,tyrrell,1981,1
5,5,1,0,theodore,1981,1
6,6,0,0,fittipaldi,1981,1
7,7,0,0,renault,1981,1
8,8,0,0,ensign,1981,1
9,9,0,0,ferrari,1981,1
10,10,0,0,ligier,1981,1
11,11,0,0,ats,1981,1
12,12,0,0,arrows,1981,1
13,13,0,0,osella,1981,1
14,14,0,0,team_lotus,1981,1
15,15,0,0,mclaren,1981,1
16,16,0,0,march,1981,1
1,1,135,9,williams,1986,15
2,2,87,3,mclaren,1986,15
3,3,57,2,team_lotus,1986,15
4,4,33,0,ferrari,1986,15
5,5,29,0,ligier,1986,15
6,6,19,1,benetton,1986,15
7,7,6,0,lola,1986,15
8,8,6,0,tyrrell,1986,15
9,9,2,0,brabham,1986,15
10,10,1,0,arrows,1986,15
11,11,0,0,zakspeed,1986,15
12,12,0,0,minardi,1986,15
13,13,0,0,osella,1986,15
14,14,0,0,ags,1986,15
1,1,121,7,renault,2006,9
2,2,87,2,ferrari,2006,9
3,3,65,0,mclaren,2006,9
4,4,29,0,honda,2006,9
5,5,19,0,bmw_sauber,2006,9
6,6,11,0,toyota,2006,9
7,7,10,0,williams,2006,9
8,8,9,0,red_bull,2006,9
9,9,0,0,toro_rosso,2006,9
10,10,0,0,mf1,2006,9
11,11,0,0,super_aguri,2006,9
1,1,165,11,williams,1996,15
2,2,65,0,benetton,1996,15
3,3,64,3,ferrari,1996,15
4,4,45,0,mclaren,1996,15
5,5,20,0,jordan,1996,15
6,6,15,1,ligier,1996,15
7,7,10,0,sauber,1996,15
8,8,5,0,tyrrell,1996,15
9,9,1,0,footwork,1996,15
10,10,0,0,minardi,1996,15
11,11,0,0,forti,1996,15
1,1,26,2,williams,1996,2
2,2,9,0,benetton,1996,2
3,3,8,0,ferrari,1996,2
4,4,5,0,mclaren,1996,2
5,5,3,0,tyrrell,1996,2
6,6,1,0,ligier,1996,2
7,7,0,0,sauber,1996,2
8,8,0,0,footwork,1996,2
9,9,0,0,minardi,1996,2
10,10,0,0,forti,1996,2
11,11,0,0,jordan,1996,2
1,1,445,9,red_bull,2013,15
2,2,297,2,ferrari,2013,15
3,3,287,3,mercedes,2013,15
4,4,264,1,lotus_f1,2013,15
5,5,83,0,mclaren,2013,15
6,6,62,0,force_india,2013,15
7,7,45,0,sauber,2013,15
8,8,31,0,toro_rosso,2013,15
9,9,1,0,williams,2013,15
10,10,0,0,marussia,2013,15
11,11,0,0,caterham,2013,15
1,1,147,7,ferrari,2003,15
2,2,144,4,williams,2003,15
3,3,128,2,mclaren,2003,15
4,4,84,1,renault,2003,15
5,5,19,0,sauber,2003,15
6,6,18,0,bar,2003,15
7,7,18,0,jaguar,2003,15
8,8,14,0,toyota,2003,15
9,9,13,1,jordan,2003,15
10,10,0,0,minardi,2003,15
1,1,49,3,mclaren,1974,10
2,2,48,2,ferrari,1974,10
3,3,39,2,tyrrell,1974,10
4,4,26,2,team_lotus,1974,10
5,5,11,1,brabham,1974,10
6,6,10,0,brm,1974,10
7,7,6,0,shadow,1974,10
8,8,5,0,march,1974,10
9,9,4,0,hesketh,1974,10
10,10,3,0,surtees,1974,10
11,11,1,0,lola,1974,10
12,12,1,0,iso_marlboro,1974,10
13,13,0,0,trojan,1974,10
14,14,0,0,ensign,1974,10
15,15,0,0,token,1974,10
16,16,0,0,amon,1974,10
17,17,0,0,lyncar,1974,10
18,18,0,0,maki,1974,10
1,1,47,1,ferrari,1985,6
2,2,33,2,team_lotus,1985,6
3,3,25,2,mclaren,1985,6
4,4,17,1,williams,1985,6
5,5,12,0,renault,1985,6
6,6,6,0,arrows,1985,6
7,7,5,0,ligier,1985,6
8,8,4,0,tyrrell,1985,6
9,9,1,0,brabham,1985,6
10,10,0,0,alfa,1985,6
11,11,0,0,osella,1985,6
12,12,0,0,ram,1985,6
13,13,0,0,zakspeed,1985,6
14,14,0,0,toleman,1985,6
15,15,0,0,minardi,1985,6
16,16,0,0,spirit,1985,6
1,1,58,4,team_lotus,1973,9
2,2,53,3,tyrrell,1973,9
3,3,35,2,mclaren,1973,9
4,4,12,0,brabham,1973,9
5,5,12,0,ferrari,1973,9
6,6,5,0,shadow,1973,9
7,7,5,0,brm,1973,9
8,8,4,0,march,1973,9
9,9,1,0,tecno,1973,9
10,10,0,0,iso_marlboro,1973,9
11,11,0,0,surtees,1973,9
12,12,0,0,ensign,1973,9
1,1,45,3,ferrari,1964,10
2,2,42,2,brm,1964,10
3,3,37,3,lotus-climax,1964,10
4,4,30,2,brabham-climax,1964,10
5,5,16,0,cooper-climax,1964,10
6,6,7,0,brabham-brm,1964,10
7,7,5,0,brp,1964,10
8,8,3,0,lotus-brm,1964,10
9,9,0,0,honda,1964,10
10,10,0,0,scirocco,1964,10
11,11,0,0,derrington,1964,10
12,12,0,0,porsche,1964,10
13,13,0,0,brabham-ford,1964,10
1,1,88,1,mclaren,2012,3
2,2,64,0,red_bull,2012,3
3,3,37,1,ferrari,2012,3
4,4,31,0,sauber,2012,3
5,5,26,1,mercedes,2012,3
6,6,24,0,lotus_f1,2012,3
7,7,18,0,williams,2012,3
8,8,9,0,force_india,2012,3
9,9,6,0,toro_rosso,2012,3
10,10,0,0,marussia,2012,3
11,11,0,0,caterham,2012,3
12,12,0,0,hrt,2012,3
1,1,76,4,ferrari,2001,7
2,2,44,2,mclaren,2001,7
3,3,18,1,williams,2001,7
4,4,13,0,jordan,2001,7
5,5,12,0,bar,2001,7
6,6,12,0,sauber,2001,7
7,7,4,0,jaguar,2001,7
8,8,1,0,arrows,2001,7
9,9,1,0,benetton,2001,7
10,10,1,0,prost,2001,7
11,11,0,0,minardi,2001,7
1,1,47,3,ferrari,2008,4
2,2,35,0,bmw_sauber,2008,4
3,3,34,1,mclaren,2008,4
4,4,12,0,williams,2008,4
5,5,9,0,toyota,2008,4
6,6,8,0,red_bull,2008,4
7,7,6,0,renault,2008,4
8,8,3,0,honda,2008,4
9,9,2,0,toro_rosso,2008,4
10,10,0,0,force_india,2008,4
11,11,0,0,super_aguri,2008,4
1,1,18,1,brabham-repco,1967,3
2,2,11,1,cooper-maserati,1967,3
3,3,9,1,lotus-ford,1967,3
4,4,7,0,ferrari,1967,3
5,5,6,0,lotus-brm,1967,3
6,6,6,0,cooper-climax,1967,3
7,7,4,0,honda,1967,3
8,8,3,0,mclaren-brm,1967,3
9,9,2,0,brabham-climax,1967,3
10,10,1,0,brm,1967,3
11,11,0,0,lds-climax,1967,3
12,12,0,0,lotus-climax,1967,3
13,13,0,0,eagle-climax,1967,3
14,14,0,0,eagle-weslake,1967,3
15,15,0,0,matra,1967,3
1,1,121,6,ferrari,2008,12
2,2,113,5,mclaren,2008,12
3,3,96,1,bmw_sauber,2008,12
4,4,41,0,toyota,2008,12
5,5,31,0,renault,2008,12
6,6,24,0,red_bull,2008,12
7,7,17,0,williams,2008,12
8,8,14,0,honda,2008,12
9,9,11,0,toro_rosso,2008,12
10,10,0,0,force_india,2008,12
11,11,0,0,super_aguri,2008,12
1,1,40,3,mclaren,1974,7
2,2,30,1,ferrari,1974,7
3,3,25,1,tyrrell,1974,7
4,4,13,1,team_lotus,1974,7
5,5,10,1,brabham,1974,7
6,6,10,0,brm,1974,7
7,7,6,0,shadow,1974,7
8,8,5,0,march,1974,7
9,9,4,0,hesketh,1974,7
10,10,3,0,surtees,1974,7
11,11,1,0,lola,1974,7
12,12,1,0,iso_marlboro,1974,7
13,13,0,0,trojan,1974,7
14,14,0,0,ensign,1974,7
15,15,0,0,token,1974,7
16,16,0,0,amon,1974,7
1,1,42,3,mclaren,1982,8
2,2,30,2,brabham,1982,8
3,3,26,1,ferrari,1982,8
4,4,26,0,williams,1982,8
5,5,22,2,renault,1982,8
6,6,17,0,team_lotus,1982,8
7,7,11,0,ligier,1982,8
8,8,10,0,tyrrell,1982,8
9,9,5,0,alfa,1982,8
10,10,4,0,ats,1982,8
11,11,3,0,osella,1982,8
12,12,2,0,arrows,1982,8
13,13,1,0,fittipaldi,1982,8
14,14,0,0,march,1982,8
15,15,0,0,theodore,1982,8
16,16,0,0,toleman,1982,8
17,17,0,0,ensign,1982,8
1,1,345,5,mercedes,2018,12
2,2,335,4,ferrari,2018,12
3,3,223,3,red_bull,2018,12
4,4,82,0,renault,2018,12
5,5,66,0,haas,2018,12
6,6,59,0,force_india,2018,12
7,7,52,0,mclaren,2018,12
8,8,28,0,toro_rosso,2018,12
9,9,18,0,sauber,2018,12
10,10,4,0,williams,2018,12
1,1,85,8,team_lotus,1978,13
2,2,44,1,brabham,1978,13
3,3,36,3,ferrari,1978,13
4,4,36,1,tyrrell,1978,13
5,5,16,0,ligier,1978,13
6,6,15,0,fittipaldi,1978,13
7,7,14,0,wolf,1978,13
8,8,12,0,mclaren,1978,13
9,9,8,0,arrows,1978,13
10,10,6,0,shadow,1978,13
11,11,5,0,williams,1978,13
12,12,1,0,surtees,1978,13
13,13,0,0,ats,1978,13
14,14,0,0,martini,1978,13
15,15,0,0,renault,1978,13
16,16,0,0,ensign,1978,13
17,17,0,0,merzario,1978,13
18,18,0,0,theodore,1978,13
19,19,0,0,hesketh,1978,13
1,1,157,4,mercedes,2016,4
2,2,76,0,ferrari,2016,4
3,3,57,0,red_bull,2016,4
4,4,51,0,williams,2016,4
5,5,22,0,haas,2016,4
6,6,17,0,toro_rosso,2016,4
7,7,10,0,mclaren,2016,4
8,8,8,0,force_india,2016,4
9,9,6,0,renault,2016,4
10,10,0,0,sauber,2016,4
11,11,0,0,manor,2016,4
1,1,28,3,lotus-climax,1963,4
2,2,16,0,cooper-climax,1963,4
3,3,14,1,brm,1963,4
4,4,13,0,brabham,1963,4
5,5,7,0,ferrari,1963,4
6,6,3,0,brp,1963,4
7,7,1,0,lotus-brm,1963,4
8,8,1,0,porsche,1963,4
9,9,0,0,lola,1963,4
10,10,0,0,scirocco,1963,4
11,11,0,0,ats,1963,4
12,12,0,0,tomaso,1963,4
1,1,422,7,red_bull,2012,18
2,2,340,3,ferrari,2012,18
3,3,318,5,mclaren,2012,18
4,4,288,1,lotus_f1,2012,18
5,5,136,1,mercedes,2012,18
6,6,124,0,sauber,2012,18
7,7,95,0,force_india,2012,18
8,8,73,1,williams,2012,18
9,9,22,0,toro_rosso,2012,18
10,10,0,0,marussia,2012,18
11,11,0,0,caterham,2012,18
12,12,0,0,hrt,2012,18
1,1,27,2,ligier,1979,3
2,2,18,1,ferrari,1979,3
3,3,17,0,team_lotus,1979,3
4,4,7,0,tyrrell,1979,3
5,5,4,0,mclaren,1979,3
6,6,1,0,brabham-alfa_romeo,1979,3
7,7,1,0,fittipaldi,1979,3
8,8,0,0,arrows,1979,3
9,9,0,0,shadow,1979,3
10,10,0,0,wolf,1979,3
11,11,0,0,williams,1979,3
12,12,0,0,renault,1979,3
13,13,0,0,ensign,1979,3
14,14,0,0,ats,1979,3
15,15,0,0,merzario,1979,3
1,1,98,7,mclaren,1989,10
2,2,42,1,williams,1989,10
3,3,34,2,ferrari,1989,10
4,4,17,0,benetton,1989,10
5,5,11,0,arrows,1989,10
6,6,10,0,tyrrell,1989,10
7,7,9,0,team_lotus,1989,10
8,8,8,0,dallara,1989,10
9,9,5,0,brabham,1989,10
10,10,4,0,march,1989,10
11,11,3,0,rial,1989,10
12,12,3,0,ligier,1989,10
13,13,3,0,minardi,1989,10
14,14,2,0,onyx,1989,10
15,15,1,0,ags,1989,10
16,16,0,0,larrousse,1989,10
17,17,0,0,osella,1989,10
18,18,0,0,coloni,1989,10
19,19,0,0,zakspeed,1989,10
20,20,0,0,eurobrun,1989,10
1,1,39,3,ferrari,2000,3
2,2,10,0,mclaren,2000,3
3,3,8,0,benetton,2000,3
4,4,7,0,jordan,2000,3
5,5,7,0,williams,2000,3
6,6,6,0,bar,2000,3
7,7,1,0,sauber,2000,3
8,8,0,0,arrows,2000,3
9,9,0,0,jaguar,2000,3
10,10,0,0,minardi,2000,3
11,11,0,0,prost,2000,3
1,1,90,5,ferrari,1999,10
2,2,74,4,mclaren,1999,10
3,3,38,1,jordan,1999,10
4,4,22,0,williams,1999,10
5,5,16,0,benetton,1999,10
6,6,12,0,stewart,1999,10
7,7,4,0,sauber,1999,10
8,8,3,0,prost,1999,10
9,9,1,0,arrows,1999,10
10,10,0,0,bar,1999,10
11,11,0,0,minardi,1999,10
1,1,201,3,red_bull,2013,7
2,2,145,2,ferrari,2013,7
3,3,134,1,mercedes,2013,7
4,4,114,1,lotus_f1,2013,7
5,5,51,0,force_india,2013,7
6,6,37,0,mclaren,2013,7
7,7,20,0,toro_rosso,2013,7
8,8,5,0,sauber,2013,7
9,9,0,0,williams,2013,7
10,10,0,0,marussia,2013,7
11,11,0,0,caterham,2013,7
1,1,19,1,brabham,1975,3
2,2,16,1,mclaren,1975,3
3,3,11,1,tyrrell,1975,3
4,4,8,0,ferrari,1975,3
5,5,7,0,hesketh,1975,3
6,6,0,0,penske,1975,3
7,7,0,0,parnelli,1975,3
8,8,0,0,hill,1975,3
9,9,0,0,team_lotus,1975,3
10,10,0,0,shadow-ford,1975,3
11,11,0,0,march,1975,3
12,12,0,0,lola,1975,3
13,13,0,0,surtees,1975,3
14,14,0,0,williams,1975,3
15,15,0,0,fittipaldi,1975,3
16,16,0,0,brm,1975,3
1,1,40,4,brabham-repco,1966,7
2,2,31,2,ferrari,1966,7
3,3,22,1,brm,1966,7
4,4,20,0,cooper-maserati,1966,7
5,5,7,0,lotus-climax,1966,7
6,6,4,0,lotus-brm,1966,7
7,7,2,0,eagle-climax,1966,7
8,8,1,0,brabham-climax,1966,7
9,9,1,0,brabham-brm,1966,7
10,10,1,0,mclaren-seren,1966,7
11,11,0,0,cooper-ferrari,1966,7
12,12,0,0,honda,1966,7
13,13,0,0,mclaren-ford,1966,7
14,14,0,0,eagle-weslake,1966,7
15,15,0,0,shannon,1966,7
1,1,64,3,mclaren,1990,8
2,2,54,4,ferrari,1990,8
3,3,27,1,williams,1990,8
4,4,25,0,benetton,1990,8
5,5,14,0,tyrrell,1990,8
6,6,6,0,leyton,1990,8
7,7,5,0,larrousse,1990,8
8,8,2,0,arrows,1990,8
9,9,2,0,brabham,1990,8
10,10,1,0,team_lotus,1990,8
11,11,0,0,minardi,1990,8
12,12,0,0,onyx,1990,8
13,13,0,0,ligier,1990,8
14,14,0,0,dallara,1990,8
